Voltage [V],Current [A],Surface_Temp [C],Core_Temp [C],Ambient_Temp [C],Label
2.6182400598963476,-3.0,20.45488724255125,25.0,20.45488724255125,0
2.618278168891879,-3.0,20.45488724255125,25.000002660770633,20.45488724255125,0
2.6183162719129647,-3.0,20.45488724255125,25.000005321520746,20.45488724255125,0
2.61839246959443,-3.0,20.45488724255125,25.00001064293889,20.45488724255125,0
2.6185448317249844,-3.0,20.45488724255125,25.000021285446792,20.45488724255125,0
2.618849424277276,-3.0,20.45488724255125,25.000042569149628,20.45488724255125,0
2.619458089964267,-3.0,20.45488724255125,25.000085131304104,20.45488724255125,0
2.6206733884979614,-3.0,20.45488724255125,25.00017023459816,20.45488724255125,0
2.623096117375928,-3.0,20.45488724255125,25.000340357007758,20.45488724255125,0
2.627911592748668,-3.0,20.45488724255125,25.000680263987192,20.45488724255125,0
2.6326927402473337,-3.0,20.45488724255125,25.001019834837564,20.45488724255125,0
2.6374410546163527,-3.0,20.45488724255125,25.001359070005833,20.45488724255125,0
2.6468506204805937,-3.0,20.45488724255125,25.002036758070687,20.45488724255125,0
2.656141497500228,-3.0,20.45488724255125,25.00271322133034,20.45488724255125,0
2.674379329515013,-3.0,20.45488724255125,25.00406210388411,20.45488724255125,0
2.692183523504461,-3.0,20.45488724255125,25.005405633022292,20.45488724255125,0
2.7095752322870315,-3.0,20.45488724255125,25.006743789205814,20.45488724255125,0
2.7265714639478413,-3.0,20.45488724255125,25.00807661043939,20.45488724255125,0
2.759432283193198,-3.0,20.45488724255125,25.010726598535996,20.45488724255125,0
2.7908624340984747,-3.0,20.45488724255125,25.013356467121355,20.45488724255125,0
2.820953069827962,-3.0,20.45488724255125,25.015967476490857,20.45488724255125,0
2.8773785891588455,-3.0,20.45488724255125,25.02113814778437,20.45488724255125,0
2.9242397859241263,-3.0,20.45488724255125,25.025739623650452,20.45488724255125,0
2.967738846658513,-3.0,20.45488724255125,25.03029793924378,20.45488724255125,0
3.0081732347589707,-3.0,20.45488724255125,25.034818432718623,20.45488724255125,0
3.045812193347844,-3.0,20.45488724255125,25.03930569019883,20.45488724255125,0
3.080899218668578,-3.0,20.45488724255125,25.043763504228764,20.45488724255125,0
3.1442659849552874,-3.0,20.45488724255125,25.052604066192146,20.45488724255125,0
3.199786271241858,-3.0,20.45488724255125,25.061362415517863,20.45488724255125,0
3.2486326602226265,-3.0,20.45488724255125,25.070053323449315,20.45488724255125,0
3.291923092460093,-3.0,20.45488724255125,25.078691388994343,20.45488724255125,0
3.3303053460439784,-3.0,20.45488724255125,25.087285650502338,20.45488724255125,0
3.3645315436621197,-3.0,20.45488724255125,25.09584286988411,20.45488724255125,0
3.3952882712806947,-3.0,20.45488724255125,25.10436933823769,20.45488724255125,0
3.422930169299367,-3.0,20.45488724255125,25.112870026048483,20.45488724255125,0
3.4478964717188005,-3.0,20.45488724255125,25.121349704128875,20.45488724255125,0
3.4705250213760683,-3.0,20.45488724255125,25.12981053695239,20.45488724255125,0
3.4911072967727783,-3.0,20.45488724255125,25.13825469387308,20.45488724255125,0
3.5098907678868914,-3.0,20.45488724255125,25.146683711437788,20.45488724255125,0
3.542885111872438,-3.0,20.45488724255125,25.163500611057486,20.45488724255125,0
3.5708821633364973,-3.0,20.45488724255125,25.180265170167104,20.45488724255125,0
3.5949233337845237,-3.0,20.45488724255125,25.196977221907332,20.45488724255125,0
3.6158026892697146,-3.0,20.45488724255125,25.21363424057114,20.45488724255125,0
3.6341419704734514,-3.0,20.45488724255125,25.230232885677026,20.45488724255125,0
3.6504292924347874,-3.0,20.45488724255125,25.24676929383321,20.45488724255125,0
3.665053687323107,-3.0,20.45488724255125,25.263239557165605,20.45488724255125,0
3.690513268622563,-3.0,20.45488724255125,25.295970196792837,20.45488724255125,0
3.712384026888257,-3.0,20.45488724255125,25.328406976084523,20.45488724255125,0
3.7319057547234618,-3.0,20.45488724255125,25.360541824196048,20.45488724255125,0
3.7498952227247013,-3.0,20.45488724255125,25.392369130741656,20.45488724255125,0
3.7668852160361457,-3.0,20.45488724255125,25.42388205525225,20.45488724255125,0
3.783202390264572,-3.0,20.45488724255125,25.455068103750932,20.45488724255125,0
3.7990315897820945,-3.0,20.45488724255125,25.485910569631756,20.45488724255125,0
3.8144489475587706,-3.0,20.45488724255125,25.51638832249421,20.45488724255125,0
3.829450407001632,-3.0,20.45488724255125,25.546479546689,20.45488724255125,0
3.8579237049949766,-3.0,20.45488724255125,25.60542229813359,20.45488724255125,0
3.883704554839356,-3.0,20.45488724255125,25.662616512205375,20.45488724255125,0
3.906165817864143,-3.0,20.45488724255125,25.717993145362584,20.45488724255125,0
3.925091977145974,-3.0,20.45488724255125,25.771512527216544,20.45488724255125,0
3.9407189027147345,-3.0,20.45488724255125,25.823161653058207,20.45488724255125,0
3.9535866897914933,-3.0,20.45488724255125,25.872972431857534,20.45488724255125,0
3.964332668953292,-3.0,20.45488724255125,25.92103795931348,20.45488724255125,0
3.9735088505386438,-3.0,20.45488724255125,25.96747498872753,20.45488724255125,0
3.981549780904261,-3.0,20.45488724255125,26.012363444051687,20.45488724255125,0
3.9888286073332173,-3.0,20.45488724255125,26.05574153445849,20.45488724255125,0
3.9957163250920384,-3.0,20.45488724255125,26.097745454376764,20.45488724255125,0
4.002334054859757,-3.0,20.45488724255125,26.13855663067386,20.45488724255125,0
4.008762146735,-3.0,20.45488724255125,26.178292619060812,20.45488724255125,0
4.015079560800868,-3.0,20.45488724255125,26.21703424233391,20.45488724255125,0
